county_fips,state_fips,never,rarely,sometimes,frequently,always
28057,28000,11.6%,7.4%,15.5%,19.1%,46.4%
28059,28000,7.7%,9.2%,12.0%,24.0%,47.2%
28061,28000,6.6%,9.0%,14.4%,16.7%,53.3%
28063,28000,7.6%,8.3%,13.7%,15.0%,55.5%
28065,28000,14.1%,13.2%,10.1%,18.1%,44.5%
28067,28000,6.9%,7.9%,11.8%,16.9%,56.5%
28069,28000,3.2%,2.1%,8.2%,17.7%,68.7%
28071,28000,1.9%,5.9%,16.1%,20.0%,56.0%
28073,28000,8.7%,4.5%,8.0%,27.0%,51.7%
28075,28000,3.6%,1.8%,10.5%,19.7%,64.3%
28077,28000,11.9%,13.3%,14.2%,13.5%,47.1%
28079,28000,3.1%,4.0%,13.9%,15.8%,63.3%
28081,28000,9.4%,9.2%,13.0%,18.0%,50.5%
28083,28000,12.2%,9.3%,11.9%,12.9%,53.7%
28085,28000,7.7%,12.9%,13.6%,14.2%,51.6%
28087,28000,1.8%,5.2%,14.8%,19.3%,59.0%
28089,28000,2.9%,4.3%,18.4%,24.2%,50.2%
28091,28000,13.7%,9.6%,10.3%,25.5%,40.8%
28093,28000,1.3%,0.6%,13.0%,30.1%,55.0%
28095,28000,8.7%,6.4%,13.9%,17.1%,53.9%
28097,28000,5.8%,17.6%,10.9%,14.7%,51.0%
28099,28000,1.7%,1.8%,6.6%,17.1%,72.9%
28101,28000,1.0%,2.5%,10.0%,20.3%,66.2%
28103,28000,0.9%,3.4%,11.2%,20.3%,64.2%
28105,28000,1.5%,7.0%,8.1%,24.2%,59.1%
28107,28000,6.1%,15.8%,11.3%,26.9%,39.9%
28109,28000,5.0%,12.4%,8.8%,25.1%,48.7%
28111,28000,5.7%,5.6%,11.0%,27.3%,50.3%
28113,28000,11.6%,9.2%,10.6%,15.5%,53.1%
28115,28000,6.0%,11.3%,11.4%,19.7%,51.6%
28117,28000,10.3%,10.4%,17.0%,23.4%,38.9%
28119,28000,4.1%,10.1%,10.0%,31.2%,44.6%
28121,28000,3.1%,10.3%,12.7%,17.9%,56.1%
28123,28000,2.6%,4.9%,12.9%,25.2%,54.3%
28125,28000,6.6%,6.8%,14.8%,12.8%,59.0%
28127,28000,8.1%,12.4%,14.9%,15.4%,49.1%
28129,28000,10.6%,17.2%,11.1%,19.4%,41.7%
28131,28000,10.9%,6.4%,12.4%,22.4%,47.9%
28133,28000,13.7%,6.4%,11.8%,18.2%,49.8%
28135,28000,6.1%,8.6%,11.8%,27.4%,46.1%
28137,28000,9.7%,5.2%,14.9%,26.5%,43.7%
28139,28000,6.8%,6.9%,21.7%,21.3%,43.4%
28141,28000,7.2%,17.9%,15.5%,22.5%,37.0%
28143,28000,13.1%,3.6%,8.9%,17.6%,56.8%
28145,28000,7.8%,8.5%,14.8%,21.9%,47.0%
28147,28000,15.8%,8.6%,13.4%,21.3%,40.9%
28149,28000,2.1%,7.9%,9.5%,21.7%,58.6%
28151,28000,13.8%,8.4%,16.4%,11.4%,50.0%
28153,28000,3.7%,6.2%,12.1%,19.4%,58.7%
28155,28000,5.2%,14.5%,7.9%,22.2%,50.2%
28157,28000,14.6%,14.3%,7.5%,15.5%,48.1%
28159,28000,2.9%,3.8%,5.7%,19.9%,67.6%
28161,28000,2.9%,10.8%,12.1%,21.7%,52.3%
28163,28000,5.0%,3.8%,14.5%,15.9%,60.8%
29001,29000,6.7%,9.8%,18.7%,25.3%,39.5%
29003,29000,13.3%,19.7%,16.4%,23.4%,27.2%
29005,29000,9.0%,14.4%,9.7%,28.7%,38.2%
29007,29000,11.0%,7.8%,20.3%,28.1%,32.7%
29009,29000,10.6%,6.0%,25.6%,23.5%,34.3%
29011,29000,15.0%,13.1%,13.4%,11.1%,47.4%
29013,29000,13.8%,6.8%,11.2%,23.7%,44.4%
29015,29000,18.8%,12.2%,16.8%,27.7%,24.5%
29017,29000,9.7%,15.2%,13.2%,26.8%,35.0%
29019,29000,7.3%,7.5%,11.3%,22.4%,51.5%
29021,29000,12.1%,18.3%,17.5%,21.9%,30.2%
29023,29000,18.9%,17.5%,16.0%,13.5%,34.2%
29025,29000,10.9%,13.3%,21.1%,18.0%,36.7%
29027,29000,12.3%,12.0%,21.7%,19.6%,34.4%
29029,29000,26.6%,9.3%,14.7%,12.4%,37.1%
29031,29000,8.0%,10.9%,13.7%,28.5%,38.9%
29033,29000,15.5%,13.0%,7.8%,28.6%,35.1%
29035,29000,15.9%,28.5%,15.1%,12.5%,28.1%
29037,29000,2.7%,8.2%,17.0%,18.5%,53.5%
29039,29000,27.5%,5.6%,17.3%,15.5%,34.1%
29041,29000,11.7%,14.1%,8.4%,27.8%,38.0%
29043,29000,13.0%,11.3%,5.3%,25.3%,45.1%
29045,29000,15.4%,13.8%,16.5%,22.3%,32.0%
29047,29000,3.3%,3.7%,7.6%,19.9%,65.5%
29049,29000,6.6%,10.3%,10.6%,20.9%,51.7%
29051,29000,8.7%,18.5%,10.7%,18.7%,43.4%
29053,29000,6.0%,9.0%,12.7%,18.3%,54.0%
29055,29000,16.7%,14.8%,13.6%,15.9%,39.1%
29057,29000,31.2%,4.4%,13.8%,13.6%,36.9%
29059,29000,16.5%,14.3%,16.7%,15.4%,37.1%
29061,29000,12.4%,16.6%,17.2%,24.7%,29.1%
29063,29000,14.4%,13.3%,15.9%,24.1%,32.3%
29065,29000,16.7%,16.9%,17.5%,19.6%,29.3%
29067,29000,28.5%,14.9%,7.0%,16.7%,32.8%
29069,29000,6.8%,8.5%,15.4%,21.5%,47.8%
29071,29000,12.2%,8.6%,10.0%,23.3%,45.8%
29073,29000,8.6%,20.7%,16.8%,13.5%,40.4%
29075,29000,10.1%,16.6%,18.2%,29.9%,25.1%
29077,29000,9.9%,8.2%,12.8%,27.2%,41.8%
29079,29000,19.5%,19.3%,12.9%,24.7%,23.6%
29081,29000,17.3%,12.8%,21.5%,24.8%,23.6%
29083,29000,12.8%,14.7%,11.7%,34.5%,26.2%
29085,29000,18.2%,18.0%,15.9%,16.4%,31.6%
29087,29000,12.9%,22.3%,15.6%,23.2%,26.0%
29089,29000,7.6%,9.6%,10.7%,19.1%,53.1%
29091,29000,30.1%,14.2%,20.8%,10.7%,24.2%
29093,29000,13.3%,9.1%,7.2%,28.0%,42.3%
29095,29000,2.7%,6.6%,8.8%,21.0%,60.9%
29097,29000,13.8%,15.2%,14.7%,17.6%,38.8%
29099,29000,4.2%,11.7%,17.8%,21.6%,44.7%
29101,29000,16.8%,10.7%,2.6%,18.9%,51.1%
29103,29000,8.2%,11.2%,18.2%,27.1%,35.3%
29105,29000,31.3%,12.1%,17.2%,10.7%,28.7%
29107,29000,3.3%,9.8%,5.2%,24.7%,57.1%
29109,29000,24.1%,5.0%,25.1%,22.2%,23.7%
29111,29000,16.4%,10.9%,17.7%,23.0%,32.0%
29113,29000,6.3%,11.9%,23.6%,28.2%,29.9%
29115,29000,12.6%,15.6%,11.8%,27.4%,32.6%
29117,29000,15.0%,22.8%,11.1%,25.0%,26.0%
29119,29000,15.2%,14.5%,8.9%,13.8%,47.6%
29121,29000,11.8%,12.7%,15.8%,25.8%,33.8%
29123,29000,8.2%,12.4%,9.2%,29.6%,40.6%
29125,29000,9.8%,15.8%,12.1%,19.8%,42.4%
29127,29000,17.8%,9.3%,21.2%,18.5%,33.2%
29129,29000,23.0%,13.0%,21.6%,16.2%,26.1%
29131,29000,20.0%,12.6%,13.7%,14.7%,39.0%
29133,29000,12.9%,9.7%,14.1%,22.1%,41.3%
29135,29000,10.2%,26.8%,11.0%,20.2%,31.8%
29137,29000,16.4%,10.5%,18.2%,20.3%,34.6%
29139,29000,6.2%,7.7%,16.1%,30.7%,39.2%
29141,29000,21.1%,11.8%,17.5%,19.3%,30.4%
29143,29000,9.8%,11.2%,14.9%,18.0%,46.1%
29145,29000,15.6%,12.1%,14.0%,21.1%,37.3%
29147,29000,9.3%,19.3%,16.0%,28.3%,27.2%
29149,29000,14.2%,19.6%,29.3%,12.9%,24.1%
29151,29000,6.7%,13.3%,17.1%,16.0%,46.9%
29153,29000,17.9%,12.8%,12.8%,13.0%,43.5%
29155,29000,7.9%,13.4%,17.5%,20.4%,40.7%
29157,29000,3.2%,10.2%,15.6%,30.2%,40.8%
29159,29000,18.5%,11.1%,15.6%,25.4%,29.4%
29161,29000,13.9%,17.7%,11.9%,24.4%,32.0%
29163,29000,8.2%,12.8%,36.3%,26.3%,16.4%
29165,29000,4.4%,4.0%,8.8%,18.9%,63.8%
29167,29000,18.3%,10.9%,10.3%,18.9%,41.6%
29169,29000,20.8%,10.3%,16.0%,17.5%,35.4%
29171,29000,10.7%,11.1%,20.9%,19.1%,38.2%
29173,29000,16.0%,10.6%,24.8%,19.6%,29.0%
29175,29000,16.3%,8.8%,14.5%,19.4%,41.0%
29177,29000,7.3%,12.4%,23.3%,18.4%,38.6%
29179,29000,13.7%,18.3%,8.5%,22.9%,36.6%
29181,29000,12.6%,25.4%,16.1%,15.0%,30.8%
29183,29000,4.1%,5.0%,9.1%,28.6%,53.2%
29185,29000,16.3%,14.5%,18.2%,27.9%,23.0%
29186,29000,2.5%,14.0%,14.4%,31.1%,38.0%
29187,29000,10.3%,12.0%,8.5%,26.4%,42.8%
29189,29000,2.4%,2.8%,6.9%,18.2%,69.7%
29195,29000,8.3%,23.0%,11.2%,18.6%,38.9%
29197,29000,5.0%,10.1%,21.1%,22.2%,41.6%
29199,29000,7.3%,11.2%,20.9%,24.6%,36.1%
29201,29000,12.5%,11.5%,12.8%,24.7%,38.5%
29203,29000,21.2%,25.0%,19.8%,9.8%,24.3%
29205,29000,14.2%,14.4%,16.0%,23.8%,31.7%
29207,29000,13.7%,12.0%,15.6%,17.6%,41.1%
29209,29000,5.6%,9.3%,17.1%,24.7%,43.4%
29211,29000,13.6%,12.7%,17.4%,22.3%,34.1%
29213,29000,5.3%,7.9%,21.4%,15.5%,49.9%
29215,29000,30.9%,17.1%,23.1%,10.6%,18.3%
29217,29000,16.4%,10.5%,11.0%,12.5%,49.6%
29219,29000,11.0%,8.3%,11.1%,25.0%,44.6%
29221,29000,18.1%,9.2%,11.8%,19.1%,41.8%
29223,29000,19.1%,17.1%,13.0%,19.6%,31.3%
29225,29000,29.7%,9.0%,16.2%,13.7%,31.3%
29227,29000,9.8%,17.0%,21.8%,27.2%,24.1%
29229,29000,41.9%,13.9%,18.7%,10.0%,15.5%
29510,29000,3.9%,1.7%,8.0%,13.7%,72.6%
30001,30000,16.5%,12.7%,10.2%,18.0%,42.5%
30003,30000,13.6%,19.6%,14.7%,25.0%,27.1%
30005,30000,28.7%,8.0%,18.8%,25.2%,19.2%
30007,30000,16.5%,9.8%,9.9%,19.9%,43.9%
30009,30000,14.0%,16.9%,16.3%,26.0%,26.7%
30011,30000,12.3%,12.1%,12.7%,21.2%,41.7%
30013,30000,17.0%,14.3%,16.0%,14.5%,38.2%
30015,30000,19.6%,13.5%,17.1%,15.2%,34.6%
30017,30000,8.5%,26.1%,14.4%,28.0%,23.0%
30019,30000,17.2%,24.4%,18.6%,26.9%,12.9%
30021,30000,13.9%,24.9%,17.6%,27.4%,16.1%
30023,30000,14.1%,17.3%,6.4%,13.3%,48.9%
30025,30000,11.8%,19.9%,14.6%,29.6%,24.0%
30027,30000,28.4%,11.1%,15.7%,18.7%,26.1%
30029,30000,7.6%,16.7%,15.9%,22.4%,37.4%
30031,30000,13.2%,9.3%,11.5%,21.3%,44.8%
30033,30000,13.4%,19.9%,18.0%,26.5%,22.1%
30035,30000,8.4%,15.4%,17.0%,19.6%,39.6%
30037,30000,13.4%,18.1%,16.8%,24.6%,27.1%
30039,30000,11.6%,17.0%,10.9%,18.3%,42.2%
30041,30000,27.0%,10.6%,15.9%,19.2%,27.3%
30043,30000,15.8%,11.1%,7.6%,16.9%,48.7%
30045,30000,23.3%,11.0%,17.0%,13.9%,34.9%
30047,30000,8.7%,23.0%,12.8%,20.6%,34.9%
30049,30000,14.9%,10.7%,8.0%,18.5%,47.9%
30051,30000,18.8%,14.6%,16.7%,14.7%,35.2%
30053,30000,11.8%,17.4%,11.8%,18.8%,40.2%
30055,30000,14.2%,27.4%,17.9%,26.7%,13.9%
30057,30000,17.2%,11.3%,10.5%,21.0%,40.0%
30059,30000,18.8%,9.3%,12.0%,20.3%,39.6%
30061,30000,9.7%,27.8%,11.9%,18.3%,32.3%
30063,30000,9.1%,20.0%,12.8%,20.9%,37.2%
30065,30000,12.8%,17.8%,16.9%,25.7%,26.8%
30067,30000,11.4%,9.9%,10.6%,21.4%,46.7%
30069,30000,15.7%,15.4%,17.4%,24.7%,26.9%
30071,30000,22.9%,11.4%,21.4%,29.6%,14.7%
30073,30000,12.3%,17.5%,17.0%,14.2%,39.0%
30075,30000,19.3%,24.0%,10.6%,18.8%,27.3%
30077,30000,11.8%,14.4%,6.9%,14.0%,53.0%
30079,30000,10.1%,27.0%,17.1%,28.3%,17.6%
30081,30000,12.1%,17.7%,11.4%,19.5%,39.3%
30083,30000,17.6%,21.6%,16.2%,25.5%,19.1%
30085,30000,16.9%,24.6%,17.8%,26.1%,14.6%
30087,30000,12.6%,21.4%,14.3%,24.8%,26.9%
30089,30000,15.0%,20.4%,19.1%,17.2%,28.3%
30091,30000,17.9%,20.3%,17.8%,25.6%,18.5%
30093,30000,15.8%,13.8%,5.9%,14.3%,50.3%
30095,30000,12.6%,17.3%,16.0%,25.5%,28.6%
30097,30000,11.6%,15.7%,12.6%,22.7%,37.4%
30099,30000,13.4%,17.6%,14.7%,15.2%,39.1%
30101,30000,13.8%,16.5%,17.8%,13.5%,38.4%
30103,30000,12.2%,18.8%,16.0%,25.9%,27.0%
30105,30000,17.2%,23.5%,18.7%,29.1%,11.5%
30107,30000,21.4%,13.5%,14.4%,18.9%,31.8%
30109,30000,16.5%,21.9%,16.1%,26.7%,18.7%
30111,30000,12.9%,17.7%,16.7%,26.2%,26.5%
31001,31000,5.7%,12.8%,8.9%,29.1%,43.5%
31003,31000,19.8%,9.6%,19.1%,16.1%,35.4%
31005,31000,14.4%,13.5%,11.7%,24.8%,35.6%
31007,31000,24.9%,12.8%,13.4%,21.6%,27.2%
31009,31000,17.6%,10.3%,12.3%,30.5%,29.3%
31011,31000,15.6%,8.0%,15.1%,19.7%,41.5%
31013,31000,30.3%,11.2%,9.6%,28.5%,20.3%
31015,31000,8.1%,15.9%,26.7%,18.4%,30.9%
31017,31000,14.1%,8.2%,16.7%,27.5%,33.5%
31019,31000,6.5%,11.3%,10.4%,32.7%,39.1%
31021,31000,6.6%,6.3%,9.0%,32.1%,46.0%
31023,31000,2.7%,10.5%,26.3%,23.8%,36.5%
31025,31000,4.2%,4.9%,11.9%,24.0%,55.0%
31027,31000,20.7%,16.3%,16.1%,17.7%,29.3%
31029,31000,5.5%,19.2%,15.6%,23.2%,36.4%
31031,31000,15.8%,4.2%,9.5%,37.7%,32.8%
31033,31000,11.6%,15.9%,16.4%,33.8%,22.3%
31035,31000,6.4%,13.2%,12.4%,28.0%,40.0%
31037,31000,5.4%,8.9%,22.8%,28.7%,34.1%
31039,31000,14.7%,6.6%,12.2%,34.7%,31.7%
31041,31000,14.3%,10.4%,11.2%,32.8%,31.4%
31043,31000,11.3%,16.7%,13.1%,16.3%,42.5%
31045,31000,22.4%,10.3%,11.0%,32.1%,24.2%
31047,31000,9.6%,11.4%,11.5%,34.8%,32.8%
31049,31000,9.3%,14.7%,13.8%,26.7%,35.5%
31051,31000,16.3%,16.0%,13.1%,16.2%,38.3%
31053,31000,14.0%,3.6%,13.6%,37.4%,31.4%
31055,31000,9.1%,6.9%,9.5%,26.3%,48.2%
31057,31000,5.3%,23.2%,17.3%,23.1%,31.1%
31059,31000,5.3%,9.6%,26.3%,37.5%,21.3%
31061,31000,8.3%,16.8%,8.3%,28.8%,37.8%
31063,31000,9.4%,12.1%,13.6%,33.6%,31.3%
31065,31000,10.1%,13.5%,12.9%,31.9%,31.5%
31067,31000,12.7%,3.0%,10.3%,26.0%,48.0%
31069,31000,20.2%,12.4%,11.9%,26.8%,28.8%
31071,31000,16.8%,8.4%,14.2%,23.6%,37.0%
31073,31000,8.6%,12.0%,11.5%,34.7%,33.3%
31075,31000,19.9%,11.6%,10.2%,27.0%,31.3%
31077,31000,12.2%,9.1%,12.2%,24.5%,42.1%
31079,31000,4.8%,11.4%,10.3%,28.4%,45.1%
31081,31000,4.0%,12.4%,15.7%,25.2%,42.7%
31083,31000,8.9%,15.8%,10.2%,30.2%,34.8%
31085,31000,7.2%,15.1%,16.1%,27.3%,34.3%
31087,31000,8.5%,16.2%,19.0%,26.3%,30.1%
31089,31000,11.3%,13.4%,23.4%,15.4%,36.5%
31091,31000,15.1%,12.3%,11.0%,27.9%,33.7%
31093,31000,7.3%,10.4%,10.8%,28.1%,43.3%
31095,31000,20.6%,5.0%,5.5%,30.6%,38.4%
31097,31000,6.1%,17.5%,24.7%,20.7%,31.0%
31099,31000,6.2%,12.7%,9.4%,31.8%,39.9%
31101,31000,9.3%,15.0%,13.0%,23.5%,39.3%
31103,31000,12.4%,9.0%,18.3%,27.3%,33.1%
31105,31000,18.7%,17.3%,16.1%,22.8%,25.0%
31107,31000,17.1%,17.8%,19.5%,15.7%,29.9%
31109,31000,9.3%,6.1%,11.2%,26.4%,47.0%
31111,31000,10.3%,14.5%,12.3%,28.7%,34.1%
31113,31000,14.0%,13.3%,11.5%,30.8%,30.4%
31115,31000,19.3%,8.4%,12.9%,27.6%,31.8%
31117,31000,12.1%,14.7%,11.5%,25.7%,36.1%
31119,31000,25.1%,8.2%,19.4%,15.6%,31.7%
31121,31000,5.0%,12.5%,13.7%,23.4%,45.4%
31123,31000,26.1%,11.9%,12.4%,27.3%,22.3%
31125,31000,9.1%,11.1%,13.1%,20.7%,45.9%
31127,31000,9.0%,14.8%,13.7%,29.3%,33.3%
31129,31000,13.8%,13.2%,6.4%,34.9%,31.8%
31131,31000,11.0%,9.7%,9.0%,27.5%,42.8%
31133,31000,6.7%,14.7%,21.5%,25.4%,31.6%
31135,31000,6.9%,16.4%,14.2%,23.3%,39.3%
31137,31000,7.2%,12.6%,10.3%,33.6%,36.3%
31139,31000,25.3%,11.0%,18.5%,14.2%,31.1%
31141,31000,4.4%,9.4%,17.6%,25.4%,43.2%
31143,31000,2.9%,16.7%,27.7%,17.4%,35.3%
31145,31000,10.2%,12.3%,16.9%,30.8%,29.8%
31147,31000,9.8%,18.5%,16.6%,25.2%,29.8%
31149,31000,13.0%,10.2%,19.8%,22.2%,34.9%
31151,31000,2.1%,7.0%,18.6%,21.7%,50.7%
31153,31000,9.4%,6.9%,14.4%,26.0%,43.3%
31155,31000,10.8%,9.0%,28.0%,22.3%,30.0%
31157,31000,25.6%,13.2%,11.3%,24.5%,25.5%
31159,31000,2.8%,4.6%,21.6%,10.9%,60.1%
31161,31000,24.8%,8.3%,9.4%,33.3%,24.2%
31163,31000,9.3%,9.9%,11.0%,30.7%,39.0%
31165,31000,24.1%,16.1%,10.1%,29.2%,20.5%
31167,31000,26.5%,8.0%,19.2%,15.4%,30.9%
31169,31000,18.5%,7.1%,6.6%,42.9%,24.9%
31171,31000,15.2%,12.0%,11.8%,30.2%,30.8%
31173,31000,12.3%,15.3%,11.9%,18.7%,41.8%
31175,31000,13.5%,9.0%,11.8%,27.8%,38.0%
31177,31000,8.6%,11.6%,15.0%,26.1%,38.6%
31179,31000,24.5%,12.0%,15.5%,14.1%,34.0%
31181,31000,9.1%,16.7%,6.8%,28.6%,38.9%
31183,31000,16.2%,8.4%,15.5%,20.1%,39.9%
31185,31000,4.4%,16.8%,42.2%,18.4%,18.2%
32001,32000,2.2%,9.3%,5.8%,15.3%,67.4%
32003,32000,2.7%,3.2%,5.4%,14.5%,74.2%
32005,32000,2.9%,5.5%,9.1%,23.8%,58.8%
32007,32000,2.1%,4.6%,19.0%,36.4%,37.9%
32009,32000,8.6%,0.4%,0.6%,3.2%,87.2%
32011,32000,0.2%,5.4%,17.0%,38.6%,38.7%
32013,32000,0.8%,4.2%,15.6%,6.9%,72.5%
32015,32000,0.4%,8.5%,14.2%,18.2%,58.8%
32017,32000,4.8%,1.9%,14.7%,17.7%,61.0%
32019,32000,3.7%,6.9%,5.0%,17.3%,67.1%
32021,32000,2.2%,1.8%,9.0%,11.5%,75.5%
32023,32000,6.1%,3.8%,5.2%,18.3%,66.6%
32027,32000,1.0%,1.3%,24.8%,3.8%,69.1%
32029,32000,1.5%,3.8%,3.9%,12.6%,78.2%
32031,32000,2.4%,2.5%,6.0%,21.5%,67.6%
32033,32000,5.9%,1.6%,20.8%,42.1%,29.6%
32510,32000,2.3%,6.4%,5.4%,27.4%,58.5%
33001,33000,11.4%,2.0%,11.0%,15.8%,59.8%
33003,33000,8.8%,3.5%,10.7%,17.2%,59.8%
33005,33000,2.0%,7.5%,9.3%,20.2%,60.9%
33007,33000,1.7%,5.0%,6.8%,16.9%,69.7%
33009,33000,3.9%,2.6%,3.2%,19.9%,70.5%
33011,33000,3.0%,6.9%,6.6%,16.4%,67.0%
33013,33000,8.5%,6.7%,7.5%,15.8%,61.5%
33015,33000,1.8%,5.7%,7.4%,21.2%,63.9%
33017,33000,8.0%,7.4%,9.8%,19.0%,55.8%
33019,33000,6.0%,10.3%,1.2%,25.2%,57.4%
34001,34000,1.9%,4.1%,3.0%,17.6%,73.4%
34003,34000,2.0%,1.4%,5.3%,15.1%,76.2%
34005,34000,2.3%,2.0%,4.3%,13.4%,77.9%
34007,34000,2.8%,0.5%,2.7%,13.7%,80.2%
34009,34000,1.3%,1.1%,2.2%,21.4%,74.0%
34011,34000,3.2%,0.6%,5.8%,14.2%,76.2%
34013,34000,3.5%,1.4%,8.5%,18.3%,68.2%
34015,34000,4.7%,1.0%,5.2%,14.5%,74.6%
34017,34000,2.2%,1.9%,7.7%,21.1%,67.0%
34019,34000,0.7%,3.8%,6.5%,8.5%,80.4%
34021,34000,1.7%,1.4%,5.0%,16.2%,75.7%
34023,34000,2.0%,1.6%,5.4%,14.6%,76.5%
34025,34000,1.0%,2.2%,4.1%,16.4%,76.4%
34027,34000,2.3%,1.8%,4.9%,19.1%,72.0%
34029,34000,1.2%,5.6%,5.5%,10.4%,77.2%
34031,34000,2.9%,1.5%,6.3%,13.8%,75.6%
34033,34000,4.1%,4.3%,3.6%,15.4%,72.6%
34035,34000,1.6%,2.7%,4.6%,12.0%,79.1%
34037,34000,2.0%,2.6%,2.9%,20.5%,72.0%
34039,34000,1.2%,1.1%,5.9%,20.2%,71.6%
34041,34000,3.5%,2.0%,4.4%,15.2%,74.9%
35001,35000,3.6%,1.4%,5.7%,13.5%,75.8%
35003,35000,5.4%,3.9%,3.6%,10.9%,76.2%
35005,35000,7.4%,4.0%,10.8%,14.4%,63.4%
35006,35000,0.3%,5.9%,1.4%,8.5%,83.9%
35007,35000,4.1%,1.9%,9.1%,10.6%,74.3%
35009,35000,1.1%,12.9%,11.1%,20.9%,54.0%
35011,35000,3.6%,6.9%,8.5%,9.8%,71.2%
35013,35000,1.1%,4.4%,3.6%,9.7%,81.2%
35015,35000,20.0%,7.0%,9.2%,23.9%,39.9%
35017,35000,4.3%,3.1%,15.0%,20.5%,57.2%
35019,35000,1.4%,4.9%,7.2%,9.8%,76.6%
35021,35000,5.7%,15.2%,6.2%,11.5%,61.4%
35023,35000,5.6%,3.7%,18.6%,15.3%,56.9%
35025,35000,11.2%,2.4%,11.5%,33.1%,41.8%
35027,35000,4.0%,1.2%,5.5%,16.2%,73.1%
35028,35000,0.1%,4.1%,7.6%,17.3%,70.9%
35029,35000,10.5%,4.6%,2.4%,11.0%,71.5%
35031,35000,1.0%,6.0%,0.8%,20.2%,72.1%
35033,35000,0.2%,2.7%,6.7%,9.8%,80.6%
35035,35000,7.4%,3.0%,14.3%,15.8%,59.5%
35037,35000,4.9%,15.2%,7.0%,15.9%,57.1%
35039,35000,0.7%,5.4%,10.2%,16.2%,67.5%
35041,35000,0.9%,15.4%,8.9%,14.6%,60.2%
35043,35000,1.7%,1.5%,9.6%,11.0%,76.2%
35045,35000,5.7%,1.5%,11.8%,25.5%,55.5%
35047,35000,0.4%,2.0%,5.7%,11.9%,80.0%
35049,35000,0.8%,1.6%,3.1%,14.3%,80.3%
35051,35000,3.0%,3.9%,3.3%,23.9%,65.9%
35053,35000,0.2%,0.8%,5.0%,19.3%,74.6%
35055,35000,0.6%,4.1%,5.5%,11.3%,78.5%
35057,35000,9.7%,0.5%,3.5%,16.7%,69.6%
35059,35000,12.0%,11.8%,12.7%,24.2%,39.3%
35061,35000,0.6%,0.9%,14.3%,19.5%,64.8%
36001,36000,0.6%,1.2%,5.2%,14.2%,78.8%
36003,36000,6.2%,1.5%,2.8%,12.4%,77.1%
36005,36000,4.3%,1.3%,6.6%,13.6%,74.2%
36007,36000,4.4%,2.8%,5.1%,6.6%,81.2%
36009,36000,1.5%,1.3%,2.4%,15.6%,79.3%
36011,36000,0.0%,3.3%,7.2%,16.2%,73.2%
36013,36000,2.9%,2.4%,3.8%,20.6%,70.3%
36015,36000,1.2%,4.6%,9.2%,25.6%,59.4%
36017,36000,4.8%,4.5%,1.5%,15.6%,73.5%
36019,36000,1.7%,2.4%,10.2%,8.4%,77.3%
36021,36000,1.4%,0.4%,2.9%,10.4%,84.8%
36023,36000,0.1%,6.2%,1.5%,11.8%,80.3%
36025,36000,5.7%,5.3%,3.4%,11.2%,74.4%
36027,36000,0.7%,0.9%,3.1%,9.9%,85.4%
36029,36000,1.8%,1.4%,4.0%,16.1%,76.6%
36031,36000,5.0%,5.0%,5.7%,10.7%,73.6%
36033,36000,2.6%,2.7%,11.7%,9.7%,73.3%
36035,36000,7.8%,1.5%,6.0%,11.8%,72.9%
36037,36000,0.1%,1.7%,1.5%,18.7%,78.1%
36039,36000,2.2%,1.4%,3.0%,14.6%,78.8%
36041,36000,4.2%,2.4%,5.3%,22.9%,65.3%
36043,36000,1.5%,2.6%,4.2%,15.8%,75.8%
36045,36000,0.8%,5.8%,3.8%,11.6%,78.0%
36047,36000,3.5%,3.4%,5.8%,14.1%,73.2%
36049,36000,6.9%,3.6%,2.0%,11.0%,76.5%
36051,36000,1.1%,3.4%,0.9%,11.1%,83.5%
36053,36000,0.3%,1.5%,4.3%,10.7%,83.2%
36055,36000,1.8%,1.2%,5.6%,12.9%,78.5%
36057,36000,10.2%,0.5%,5.4%,9.0%,74.9%
36059,36000,1.7%,1.8%,4.3%,14.2%,77.9%
36061,36000,2.0%,1.6%,4.0%,12.1%,80.3%
36063,36000,0.1%,2.8%,3.7%,20.4%,73.0%
36065,36000,1.6%,2.5%,3.3%,15.3%,77.4%
36067,36000,1.9%,0.8%,5.4%,16.3%,75.6%
36069,36000,0.1%,1.2%,3.1%,10.7%,84.9%
36071,36000,2.3%,0.8%,4.2%,18.0%,74.6%
36073,36000,0.1%,3.3%,5.9%,21.3%,69.3%
36075,36000,1.7%,0.3%,9.4%,11.9%,76.6%
36077,36000,3.2%,6.5%,2.7%,9.6%,77.9%
36079,36000,0.3%,1.8%,2.2%,10.5%,85.2%
36081,36000,2.2%,2.3%,6.8%,13.6%,75.1%
36083,36000,1.8%,1.8%,7.3%,14.0%,75.1%
36085,36000,3.3%,1.5%,4.6%,17.8%,72.8%
36087,36000,1.1%,1.8%,5.4%,19.5%,72.2%
36089,36000,2.7%,2.9%,9.5%,14.9%,70.1%
36091,36000,2.0%,1.2%,6.2%,15.6%,75.1%
36093,36000,4.0%,0.7%,5.1%,6.0%,84.1%
36095,36000,0.7%,2.0%,4.0%,10.8%,82.5%
36097,36000,1.0%,0.9%,7.1%,23.9%,67.0%
36099,36000,0.1%,1.2%,4.2%,8.2%,86.4%
36101,36000,3.6%,3.1%,5.7%,20.1%,67.4%
