county_fips,state_fips,2019_population
6089,6000,"180,080"
6091,6000,"3,005"
6093,6000,"43,539"
6095,6000,"447,643"
6097,6000,"494,336"
6099,6000,"550,660"
6101,6000,"96,971"
6103,6000,"65,084"
6105,6000,"12,285"
6107,6000,"466,195"
6109,6000,"54,478"
6111,6000,"846,006"
6113,6000,"220,500"
6115,6000,"78,668"
8001,8000,"517,421"
8003,8000,"16,233"
8005,8000,"656,590"
8007,8000,"14,029"
8009,8000,"3,581"
8011,8000,"5,577"
8013,8000,"326,196"
8014,8000,"70,465"
8015,8000,"20,356"
8017,8000,"1,831"
8019,8000,"9,700"
8021,8000,"8,205"
8023,8000,"3,887"
8025,8000,"6,061"
8027,8000,"5,068"
8029,8000,"31,162"
8031,8000,"727,211"
8033,8000,"2,055"
8035,8000,"351,154"
8037,8000,"55,127"
8039,8000,"26,729"
8041,8000,"720,403"
8043,8000,"47,839"
8045,8000,"60,061"
8047,8000,"6,243"
8049,8000,"15,734"
8051,8000,"17,462"
8053,8000,820
8055,8000,"6,897"
8057,8000,"1,392"
8059,8000,"582,881"
8061,8000,"1,406"
8063,8000,"7,097"
8065,8000,"8,127"
8067,8000,"56,221"
8069,8000,"356,899"
8071,8000,"14,506"
8073,8000,"5,701"
8075,8000,"22,409"
8077,8000,"154,210"
8079,8000,769
8081,8000,"13,283"
8083,8000,"26,183"
8085,8000,"42,758"
8087,8000,"29,068"
8089,8000,"18,278"
8091,8000,"4,952"
8093,8000,"18,845"
8095,8000,"4,265"
8097,8000,"17,767"
8099,8000,"12,172"
8101,8000,"168,424"
8103,8000,"6,324"
8105,8000,"11,267"
8107,8000,"25,638"
8109,8000,"6,824"
8111,8000,728
8113,8000,"8,179"
8115,8000,"2,248"
8117,8000,"31,011"
8119,8000,"25,388"
8121,8000,"4,908"
8123,8000,"324,492"
8125,8000,"10,019"
9001,9000,"943,332"
9003,9000,"891,720"
9005,9000,"180,333"
9007,9000,"162,436"
9009,9000,"854,757"
9011,9000,"265,206"
9013,9000,"150,721"
9015,9000,"116,782"
10001,10000,"180,786"
10003,10000,"558,753"
10005,10000,"234,225"
11001,11000,"705,749"
12001,12000,"269,043"
12003,12000,"29,210"
12005,12000,"174,705"
12007,12000,"28,201"
12009,12000,"601,942"
12011,12000,"1,952,778"
12013,12000,"14,105"
12015,12000,"188,910"
12017,12000,"149,657"
12019,12000,"219,252"
12021,12000,"384,902"
12023,12000,"71,686"
12027,12000,"38,001"
12029,12000,"16,826"
12031,12000,"957,755"
12033,12000,"318,316"
12035,12000,"115,081"
12037,12000,"12,125"
12039,12000,"45,660"
12041,12000,"18,582"
12043,12000,"13,811"
12045,12000,"13,639"
12047,12000,"14,428"
12049,12000,"26,937"
12051,12000,"42,022"
12053,12000,"193,920"
12055,12000,"106,221"
12057,12000,"1,471,968"
12059,12000,"19,617"
12061,12000,"159,923"
12063,12000,"46,414"
12065,12000,"14,246"
12067,12000,"8,422"
12069,12000,"367,118"
12071,12000,"770,577"
12073,12000,"293,582"
12075,12000,"41,503"
12077,12000,"8,354"
12079,12000,"18,493"
12081,12000,"403,253"
12083,12000,"365,579"
12085,12000,"161,000"
12086,12000,"2,716,940"
12087,12000,"74,228"
12089,12000,"88,625"
12091,12000,"210,738"
12093,12000,"42,168"
12095,12000,"1,393,452"
12097,12000,"375,751"
12099,12000,"1,496,770"
12101,12000,"553,947"
12103,12000,"974,996"
12105,12000,"724,777"
12107,12000,"74,521"
12109,12000,"264,672"
12111,12000,"328,297"
12113,12000,"184,313"
12115,12000,"433,742"
12117,12000,"471,826"
12119,12000,"132,420"
12121,12000,"44,417"
12123,12000,"21,569"
12125,12000,"15,237"
12127,12000,"553,284"
12129,12000,"33,739"
12131,12000,"74,071"
12133,12000,"25,473"
13001,13000,"18,386"
13003,13000,"8,165"
13005,13000,"11,164"
13007,13000,"3,038"
13009,13000,"44,890"
13011,13000,"19,234"
13013,13000,"83,240"
13015,13000,"107,738"
13017,13000,"16,700"
13019,13000,"19,397"
13021,13000,"153,159"
13023,13000,"12,873"
13025,13000,"19,109"
13027,13000,"15,457"
13029,13000,"39,627"
13031,13000,"79,608"
13033,13000,"22,383"
13035,13000,"24,936"
13037,13000,"6,189"
13039,13000,"54,666"
13043,13000,"10,803"
13045,13000,"119,992"
13047,13000,"67,580"
13049,13000,"13,392"
13051,13000,"289,430"
13053,13000,"10,907"
13055,13000,"24,789"
13057,13000,"258,773"
13059,13000,"128,331"
13061,13000,"2,834"
13063,13000,"292,256"
13065,13000,"6,618"
13067,13000,"760,141"
13069,13000,"43,273"
13071,13000,"45,600"
13073,13000,"156,714"
13075,13000,"17,270"
13077,13000,"148,509"
13079,13000,"12,404"
13081,13000,"22,372"
13083,13000,"16,116"
13085,13000,"26,108"
13087,13000,"26,404"
13089,13000,"759,297"
13091,13000,"20,605"
13093,13000,"13,390"
13095,13000,"87,956"
13097,13000,"146,343"
13099,13000,"10,190"
13101,13000,"4,006"
13103,13000,"64,296"
13105,13000,"19,194"
13107,13000,"22,646"
13109,13000,"10,654"
13111,13000,"26,188"
13113,13000,"114,421"
13115,13000,"98,498"
13117,13000,"244,252"
13119,13000,"23,349"
13121,13000,"1,063,937"
13123,13000,"31,369"
13125,13000,"2,971"
13127,13000,"85,292"
13129,13000,"57,963"
13131,13000,"24,633"
13133,13000,"18,324"
13135,13000,"936,250"
13137,13000,"45,328"
13139,13000,"204,441"
13141,13000,"8,457"
13143,13000,"29,792"
13145,13000,"35,236"
13147,13000,"26,205"
13149,13000,"11,923"
13151,13000,"234,561"
13153,13000,"157,863"
13155,13000,"9,416"
13157,13000,"72,977"
13159,13000,"14,219"
13161,13000,"15,115"
13163,13000,"15,362"
13165,13000,"8,676"
13167,13000,"9,643"
13169,13000,"28,735"
13171,13000,"19,077"
13173,13000,"10,423"
13175,13000,"47,546"
13177,13000,"29,992"
13179,13000,"61,435"
13181,13000,"7,921"
13183,13000,"19,559"
13185,13000,"117,406"
13187,13000,"33,610"
13189,13000,"21,312"
13191,13000,"14,378"
13193,13000,"12,947"
13195,13000,"29,880"
13197,13000,"8,359"
13199,13000,"21,167"
13201,13000,"5,718"
13205,13000,"21,863"
13207,13000,"27,578"
13209,13000,"9,172"
13211,13000,"19,276"
13213,13000,"40,096"
13215,13000,"195,769"
13217,13000,"111,744"
13219,13000,"40,280"
13221,13000,"15,259"
13223,13000,"168,667"
13225,13000,"27,546"
13227,13000,"32,591"
13229,13000,"19,465"
13231,13000,"18,962"
13233,13000,"42,613"
13235,13000,"11,137"
13237,13000,"22,119"
13239,13000,"2,299"
13241,13000,"17,137"
13243,13000,"6,778"
13245,13000,"202,518"
13247,13000,"90,896"
13249,13000,"5,257"
13251,13000,"13,966"
13253,13000,"8,090"
13255,13000,"66,703"
13257,13000,"25,925"
13259,13000,"6,621"
13261,13000,"29,524"
13263,13000,"6,195"
13265,13000,"1,537"
13267,13000,"25,286"
13269,13000,"8,020"
13271,13000,"15,860"
13273,13000,"8,531"
13275,13000,"44,451"
13277,13000,"40,644"
13279,13000,"26,830"
13281,13000,"12,037"
13283,13000,"6,901"
13285,13000,"69,922"
